id,name,cusps,betti,torsion,volume,chernsimons,tets,hash,triangulation
36045,o9_18383,1,1,[2],6.32168842839,-0.11228882109,9,701a399effc97d72ed5b8959a938d777,jLAwLMQcbbdghgiiihqnheuqjvc_bBba
36046,o9_18384,1,1,[],6.32203173219,-0.150896792905,9,9bd0315b67af8b5f2756964e6b9378c4,jLALvQQbcbeifhiihhhjswnknsj_abBa
36047,o9_18385,1,1,[],6.32207802158,-0.233982846744,9,7caf7dacf85b701e9de24266b0bd41c4,jLALLQPbcbfhghhiihxwxxxknxn_bBab
36048,o9_18386,1,1,[4],6.32214030005,0.0833752381841,9,775e4bfb81dc39fffd26fb94b9edb21c,jLALPzQbcbefghihixxjgqxqxjn_abBa
36049,o9_18387,1,1,[2],6.32214621086,-0.00136345672427,9,8a5173346bae8245f721d973a8279b2e,jLAwvQQbcbdhigghihhjhhxakwk_bBab
36050,o9_18388,1,1,[],6.32225332133,0.210901181664,9,8de13dd49f082c8fbdea3380baabc473,jLALvQQbcbegihihihhjsnrbvbj_bBba
36051,o9_18389,1,1,[],6.32227150961,-0.13168242156,9,b916bd60634ab7b62486f7584b15cb62,jLALPzQbcbegfhihixhjshahxkj_baBb
36052,o9_18390,1,1,[],6.32237899847,-0.217567543506,9,a26237c5403d0414acccee2610c9b183,jLALPzQbcbefghihihxjgxxhhwj_abBa
36053,o9_18391,1,1,[2],6.32269533775,0.137768876694,9,8b966bf1724bf5ee0bfc6acd6e32fe88,jLALPzQbcbegfhihihhwcahhqjj_baab
36054,o9_18392,1,1,[5],6.32269836463,-0.0388605781649,9,5ab1516f7db72de1f34b1df103291dca,jLALLAQbcbefghhiihhjsqoovhj_abBa
36055,o9_18393,2,2,[],6.32271862603,-0.229074873583,9,3c17fae328d611c581a042f835e0fd4a,jLAwMzQbcbdfghhiixxjxrpifhw_bBabbBab
36056,o9_18394,1,1,[],6.32291434701,0.0813387330914,9,0f849b335ea03aec6193f05ae026b292,jLALLMQbcbegghiiixxjnavkhux_abBa
36057,o9_18395,1,1,[],6.32324976707,-0.143121989194,9,be1b675f91fba6fc35dc4ce798868919,jLALvQQbcbfghhiiixxjxaknrkw_bBab
36058,o9_18396,1,1,[2],6.32344193461,-0.102733528613,9,de0ec0f2410f0a96e6112e87507e0530,jLALLMQbcbeggihiihxjnqcqnhx_abBb
36059,o9_18397,1,1,[],6.32364264547,-0.234648080945,9,20ab95b7cb12e5e5694a4ebcbd2b9bd6,jLALPzQbcbefghihixxjnaqqqwj_baab
36060,o9_18398,1,1,[],6.32401111037,-0.0212905709554,9,f14c842a96a98f3817715830662a02de,jLALPzQbcbefghihixxnnqxhhnw_baab
36061,o9_18399,2,2,[],6.32405911471,0.225951250298,9,7951a75c62ff490cd47b61be98b048d4,jLAwLMQbcbdfhiiihhhjhwaronk_baabbBba
36062,o9_18400,1,1,[],6.32414608144,-0.128987591767,9,de966bc932621ab88b4c841c162476f9,jLALvQQbcbefihiihhhjsrgvnsw_bBba
36063,o9_18401,1,1,[],6.32415943569,0.204093352001,9,a86192f3aafab54571c97399fba1d419,jLAwvQQbcbdhigghihhjhhxarsk_bBba
